state,date,ML,Low_90,High_90,Low_50,High_50
Abruzzo,2020-03-11 17:00:00,2.08,0.0,4.38,0.9400000000000001,3.0100000000000002
Abruzzo,2020-03-12 17:00:00,2.45,0.45,4.21,1.59,3.2
Abruzzo,2020-03-13 17:00:00,2.43,0.76,3.85,1.72,3.0
Abruzzo,2020-03-14 17:00:00,2.34,0.98,3.56,1.79,2.85
Abruzzo,2020-03-15 17:00:00,2.56,1.3900000000000001,3.5700000000000003,2.1,2.99
Abruzzo,2020-03-16 17:00:00,2.5300000000000002,1.52,3.39,2.06,2.83
Abruzzo,2020-03-17 17:00:00,2.41,1.53,3.17,2.06,2.73
Abruzzo,2020-03-18 17:00:00,2.32,1.56,3.02,1.98,2.58
Abruzzo,2020-03-19 17:00:00,2.2,1.49,2.82,1.86,2.41
Abruzzo,2020-03-20 17:00:00,1.98,1.33,2.56,1.6600000000000001,2.17
Abruzzo,2020-03-21 17:00:00,1.9000000000000001,1.3,2.45,1.59,2.07
Abruzzo,2020-03-22 17:00:00,1.82,1.25,2.34,1.55,2.0
Abruzzo,2020-03-23 17:00:00,1.73,1.19,2.23,1.47,1.9000000000000001
Abruzzo,2020-03-24 17:00:00,1.6600000000000001,1.1400000000000001,2.14,1.44,1.85
Abruzzo,2020-03-25 17:00:00,1.67,1.1500000000000001,2.12,1.42,1.82
Abruzzo,2020-03-26 17:00:00,1.61,1.1,2.04,1.36,1.75
Abruzzo,2020-03-27 17:00:00,1.54,1.07,1.98,1.29,1.67
Abruzzo,2020-03-28 17:00:00,1.42,0.9400000000000001,1.84,1.2,1.57
Abruzzo,2020-03-29 17:00:00,1.34,0.86,1.75,1.1,1.47
Abruzzo,2020-03-30 17:00:00,1.21,0.74,1.62,1.01,1.37
Abruzzo,2020-03-31 17:00:00,1.09,0.64,1.52,0.84,1.21
Abruzzo,2020-04-01 17:00:00,1.04,0.5700000000000001,1.46,0.8,1.17
Abruzzo,2020-04-02 17:00:00,0.9500000000000001,0.47000000000000003,1.37,0.73,1.1
Abruzzo,2020-04-03 17:00:00,0.9,0.43,1.34,0.65,1.03
Abruzzo,2020-04-04 17:00:00,0.92,0.42,1.35,0.7000000000000001,1.08
Abruzzo,2020-04-05 17:00:00,0.9400000000000001,0.43,1.37,0.68,1.07
Abruzzo,2020-04-06 17:00:00,0.98,0.49,1.43,0.74,1.1300000000000001
Abruzzo,2020-04-07 17:00:00,1.03,0.51,1.46,0.79,1.18
Abruzzo,2020-04-08 17:00:00,1.04,0.56,1.5,0.79,1.18
Abruzzo,2020-04-09 17:00:00,1.04,0.55,1.49,0.8,1.19
Abruzzo,2020-04-10 17:00:00,1.01,0.52,1.46,0.77,1.16
Abruzzo,2020-04-11 17:00:00,1.0,0.51,1.45,0.76,1.1500000000000001
Abruzzo,2020-04-12 17:00:00,0.9500000000000001,0.48,1.42,0.71,1.1
Abruzzo,2020-04-13 17:00:00,0.9500000000000001,0.44,1.3900000000000001,0.72,1.11
Abruzzo,2020-04-14 17:00:00,0.92,0.43,1.3800000000000001,0.7000000000000001,1.09
Abruzzo,2020-04-15 17:00:00,0.9,0.39,1.35,0.64,1.04
Abruzzo,2020-04-16 17:00:00,0.91,0.38,1.35,0.66,1.06
Abruzzo,2020-04-17 17:00:00,0.96,0.44,1.41,0.71,1.11
Abruzzo,2020-04-18 17:00:00,0.98,0.47000000000000003,1.44,0.74,1.1400000000000001
Abruzzo,2020-04-19 17:00:00,1.0,0.48,1.45,0.75,1.1500000000000001
Abruzzo,2020-04-20 17:00:00,0.99,0.47000000000000003,1.44,0.74,1.1400000000000001
Abruzzo,2020-04-21 17:00:00,0.93,0.41000000000000003,1.3800000000000001,0.68,1.08
Abruzzo,2020-04-22 17:00:00,0.86,0.33,1.31,0.63,1.03
Abruzzo,2020-04-23 17:00:00,0.81,0.27,1.26,0.54,0.9500000000000001
Abruzzo,2020-04-24 17:00:00,0.77,0.23,1.23,0.53,0.9400000000000001
Abruzzo,2020-04-25 17:00:00,0.6900000000000001,0.15,1.1500000000000001,0.43,0.85
Abruzzo,2020-04-26 17:00:00,0.63,0.09,1.08,0.34,0.77
Abruzzo,2020-04-27 17:00:00,0.59,0.02,1.01,0.33,0.76
Abruzzo,2020-04-28 17:00:00,0.56,0.01,0.99,0.28,0.72
Abruzzo,2020-04-29 17:00:00,0.58,0.01,1.02,0.3,0.75
Abruzzo,2020-04-30 17:00:00,0.58,0.01,1.03,0.28,0.74
Abruzzo,2020-05-01 17:00:00,0.5700000000000001,0.0,1.03,0.26,0.73
Abruzzo,2020-05-02 17:00:00,0.61,0.01,1.08,0.3,0.78
Abruzzo,2020-05-03 17:00:00,0.63,0.02,1.11,0.31,0.8
Abruzzo,2020-05-04 17:00:00,0.62,0.04,1.1300000000000001,0.33,0.8200000000000001
Abruzzo,2020-05-05 17:00:00,0.64,0.04,1.1500000000000001,0.33,0.8300000000000001
Abruzzo,2020-05-06 17:00:00,0.66,0.04,1.17,0.32,0.8300000000000001
Abruzzo,2020-05-07 17:00:00,0.63,0.01,1.1300000000000001,0.29,0.8
Abruzzo,2020-05-08 17:00:00,0.6,0.0,1.11,0.26,0.77
Abruzzo,2020-05-09 17:00:00,0.59,0.0,1.11,0.27,0.78
Abruzzo,2020-05-10 17:00:00,0.55,0.0,1.09,0.2,0.71
Abruzzo,2020-05-11 17:00:00,0.53,0.0,1.09,0.19,0.7000000000000001
Abruzzo,2020-05-12 17:00:00,0.5700000000000001,0.0,1.1300000000000001,0.2,0.73
Abruzzo,2020-05-13 17:00:00,0.61,0.0,1.17,0.27,0.81
Abruzzo,2020-05-14 17:00:00,0.63,0.01,1.19,0.26,0.81
Abruzzo,2020-05-15 17:00:00,0.64,0.0,1.2,0.32,0.87
Abruzzo,2020-05-16 17:00:00,0.65,0.02,1.23,0.29,0.85
Abruzzo,2020-05-17 17:00:00,0.64,0.0,1.21,0.27,0.8300000000000001
